SKU ID,Total_Visits,Total_Transactions,Total_Revenue,Conversion_Rate
SKU_1,25111,13306,1460745.93,52.98873003862848
SKU_10,27641,14333,1436928.71,51.85412973481422
SKU_11,27856,16323,1665863.73,58.59778862722573
SKU_12,27687,11569,1222730.98,41.78495322714632
SKU_13,26734,12703,1465168.53,47.51627141467794
SKU_14,24225,12660,1453326.17,52.26006191950464
SKU_15,29758,15045,1505667.46,50.55783318771423
SKU_16,23574,12906,1234789.51,54.74675489946551
SKU_17,25295,11511,1313362.41,45.507017197074525
SKU_18,27181,13679,1461407.05,50.32559508480189
SKU_19,25834,11440,1170544.47,44.28272818765968
SKU_2,27163,13694,1498927.76,50.414166329197805
SKU_20,25224,11387,1165791.42,45.14351411354266
SKU_3,27772,14055,1606430.55,50.60852657352729
SKU_4,24782,13505,1370489.58,54.49519812767332
SKU_5,29472,14846,1401568.1,50.37323561346363
SKU_6,22764,11478,1285220.34,50.42171850289932
SKU_7,26103,14654,1674024.12,56.139141094893304
SKU_8,25163,11447,1205717.5,45.49139609744466
SKU_9,26715,14324,1284551.6099999999,53.617817705408946
